Start,StartInMin,End,EndInMin,SleepQuality,DurationInHourMin,DurationInMins,WakeUpFace,WakeUpClass,HeartRate,Activity (Steps)
9/8/2016 23:45,1425.00,9/9/16 6:51 AM,411.00,0.71,0.2951,425,:),1,75,1918
9/10/2016 6:17,377.00,9/10/16 9:23 AM,563.00,0.38,0.1292,186,:),1,73,1918
9/11/2016 0:34,34.00,9/11/16 10:24 AM,624.00,0.96,0.409,589,:),1,70,4152
9/11/2016 23:47,1427.00,9/12/16 7:21 AM,441.00,0.63,0.3153,454,:),1,67,2253
9/12/2016 23:26,1406.00,9/13/16 7:21 AM,441.00,0.76,0.3292,474,:),1,70,6271
9/14/2016 0:15,15.00,9/14/16 7:33 AM,453.00,0.7,0.3035,437,:|,0,70,2347
9/15/2016 0:22,22.00,9/15/16 6:56 AM,416.00,0.57,0.2729,393,:|,0,80,4076
9/15/2016 23:14,1394.00,9/16/16 7:20 AM,440.00,0.74,0.3375,486,:),1,79,3118
9/16/2016 22:53,1373.00,9/17/16 8:29 AM,509.00,0.91,0.4,576,:),1,64,3276
9/18/2016 0:46,46.00,9/18/16 9:26 AM,566.00,0.78,0.3604,519,:),1,116,3410
9/18/2016 23:43,1423.00,9/19/16 7:33 AM,453.00,0.81,0.3264,470,:|,0,64,1964
9/20/2016 1:01,61.00,9/20/16 7:35 AM,455.00,0.63,0.2729,393,:|,0,80,3784
9/21/2016 0:13,13.00,9/21/16 7:27 AM,447.00,0.74,0.3014,434,:|,0,69,2020
9/21/2016 23:29,1409.00,9/22/16 7:32 AM,452.00,0.88,0.3354,483,:|,0,72,3392
9/23/2016 0:03,3.00,9/23/16 7:35 AM,455.00,0.81,0.3139,452,:|,0,83,3969
9/25/2016 3:11,191.00,9/25/16 10:37 AM,637.00,0.84,0.3097,446,:),1,81,3006
9/25/2016 23:30,1410.00,9/26/16 7:16 AM,436.00,0.89,0.3236,466,:),1,66,3433
9/27/2016 1:02,62.00,9/27/16 7:29 AM,449.00,0.77,0.2688,387,:|,0,85,2565
9/27/2016 23:45,1425.00,9/28/16 7:33 AM,453.00,0.97,0.3243,467,:|,0,72,2473
9/29/2016 0:24,24.00,9/29/16 7:35 AM,455.00,0.74,0.2986,430,:|,0,63,2903
9/29/2016 23:48,1428.00,9/30/16 7:32 AM,452.00,0.72,0.3222,464,:|,0,76,2918
9/30/2016 23:27,1407.00,10/1/16 8:34 AM,514.00,1,0.3799,547,:),1,83,5232
10/1/2016 22:40,1360.00,10/2/16 10:20 AM,620.00,0.87,0.4854,699,:),1,112,2165
10/3/2016 0:24,24.00,10/3/16 7:27 AM,447.00,0.75,0.2931,422,:),1,87,1761
10/4/2016 2:36,156.00,10/4/16 7:33 AM,453.00,0.56,0.2063,297,:|,0,78,5039
10/5/2016 1:09,69.00,10/5/16 7:32 AM,452.00,0.42,0.266,383,:|,0,82,2954
10/6/2016 0:55,55.00,10/6/16 7:34 AM,454.00,0.7,0.2764,398,:(,-1,72,3649
10/8/2016 2:07,127.00,10/8/16 9:57 AM,597.00,0.68,0.3264,470,:),1,69,3586
10/10/2016 1:41,101.00,10/10/16 7:24 AM,444.00,0.56,0.2382,343,:|,0,75,5362
10/11/2016 1:18,78.00,10/11/16 2:14 AM,134.00,0.12,0.0382,55,:),1,75,3909
10/11/2016 2:26,146.00,10/11/16 7:33 AM,453.00,0.58,0.2125,306,:|,0,62,3909
10/12/2016 1:33,93.00,10/12/16 7:33 AM,453.00,0.57,0.25,360,:|,0,64,2066
10/13/2016 2:55,175.00,10/13/16 7:30 AM,450.00,0.41,0.191,275,:),1,67,2494
10/13/2016 23:44,1424.00,10/14/16 7:34 AM,454.00,0.7,0.3264,470,:(,-1,66,2228
10/16/2016 2:16,136.00,10/16/16 10:06 AM,606.00,0.84,0.3257,469,:),1,84,1461
10/17/2016 0:00,0.00,10/17/16 7:29 AM,449.00,0.65,0.3111,448,:|,0,73,2936
10/18/2016 2:22,142.00,10/18/16 7:30 AM,450.00,0.54,0.2139,308,:|,0,64,2820
10/19/2016 0:39,39.00,10/19/16 7:34 AM,454.00,0.79,0.2882,415,:|,0,53,3633
10/20/2016 1:02,62.00,10/20/16 7:34 AM,454.00,0.64,0.2722,392,:|,0,53,2815
10/21/2016 0:53,53.00,10/21/16 7:15 AM,435.00,0.66,0.2653,382,:|,0,56,2451
10/22/2016 2:00,120.00,10/22/16 11:42 AM,702.00,0.92,0.4042,582,:),1,93,2958
10/23/2016 1:18,78.00,10/23/16 9:10 AM,550.00,0.8,0.3271,471,:),1,73,2703
10/23/2016 23:42,1422.00,10/24/16 7:00 AM,420.00,0.52,0.3035,437,:|,0,81,2918
10/24/2016 23:35,1415.00,10/25/16 6:58 AM,418.00,0.67,0.3069,442,:(,-1,58,1781
10/25/2016 23:21,1401.00,10/26/16 7:00 AM,420.00,0.78,0.3181,458,:|,0,58,1484
10/27/2016 1:24,84.00,10/27/16 7:13 AM,433.00,0.66,0.2424,349,:|,0,58,3739
10/28/2016 0:00,0.00,10/28/16 7:12 AM,432.00,0.65,0.2993,431,:|,0,96,3577
10/29/2016 0:49,49.00,10/29/16 10:47 AM,647.00,0.58,0.4153,598,:),1,80,2531
10/30/2016 1:25,85.00,10/30/16 9:10 AM,550.00,0.79,0.3229,465,:),1,83,806
